Property Zip Code,Owner Type,Owner State,Homestead,Homestead Percent,HomeSEV,Land Value,Land Improvements Value,Residential Building Value,Residential Building Style,Commercial Building Value,Building Storeys,Parcel Acres,Rental,Use Type,Prop Class,Old Prop class,Year Built,USPS Vacancy,Zoning,Future Landuse,DRAFT Zone,Housing Condition 2012,Housing Condition 2014,Commercial Condition 2013,Latitude,Longitude,Hydrant Type,Ward,PRECINCT,CENTRACT,CENBLOCK,SL_Type,SL_Type2,Ed_July,Ed_March,Last_Test,Max_Lead,Med_Lead,Num_Tests,Res_Test,Sen_Test,SL_private_inspection,B_median_age_all_women,B_median_age_all_men,B_median_age_all,B_median_age_all_women_white,B_median_age_all_men_white,B_median_age_all_white,B_median_age_all_women_black,B_median_age_all_men_black,B_median_age_all_black,B_total_black_pop,B_total_white_pop,B_married_couples,B_single_women,B_married_couples_white,B_single_women_white,B_married_couples_black,B_single_women_black,B_married_couples_w_children,B_single_mothers_w_children,B_households_w_elderly,B_househod_no_elderly,B_aggregate_income,B_speak_spanish,B_speak_only_english,B_no_english,B_hispanic_household,B_imputed_rent,B_imputed_value,sl_private_type,sl_public_type
48504.0,Private,MI,No,0.0,0,750,0,57743,ONE STORY,0.0,0,0.115,No,Residential,RI,RI,1927,N,A2,Traditional Neighborhood,TN-2,Substandard,Good, ,43.030347,-83.7196979,Other,6,35,1200,4,0,0,0.0,0.0,APR2016,0.0,0.0,1.0,1.0,0.0,None,24.8,31.8,31.3,-1.0,-1.0,68.3,24.6,31.9,31.2,661,40,50,89,0,0,50,89,0,38,77,160,1534200.0,0,301,0,14.0,114.0,207.0,GALVANIZED,LEAD
48505.0,Private,MI,No,0.0,0,0,0,0,,0.0,0,0.0,No,Commercial,CI,CI,0,N,B,Green Neighborhood,GN-1, , ,Fair,43.049844,-83.70099990000001,Other,3,15,800,2,0,0,0.0,0.0,None,-1.0,-1.0,0.0,0.0,0.0,None,39.4,26.7,33.0,52.3,15.3,39.8,37.7,29.5,33.3,562,63,7,134,0,35,7,99,0,47,77,148,381200.0,0,343,0,10.0,178.0,168.0,GALVANIZED,LEAD
48504.0,Private,MI,Yes,100.0,15300,1975,585,100557,TWO STORY,0.0,0,0.153,No,Residential,RI,RI,1953,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,43.034240999999994,-83.73021700000002,T.C.,2,12,1200,2,1,0,0.0,0.0,OCT2015,3.0,0.0,1.0,1.0,0.0,None,48.4,25.7,43.7,52.9,60.8,60.8,45.4,22.6,38.2,1199,144,172,183,24,13,148,161,41,89,208,294,712800.0,0,740,0,10.0,22.0,280.0,COPPER,COPPER
48503.0,Private,MI,Yes,100.0,6200,1281,0,32126,TWO STORY,0.0,0,0.121,No,Residential,RI,RI,1917,N,B,Green Neighborhood,GN-1,Good,Structurally Deficient, ,43.004418,-83.67317299999998,Other,7,46,3200,4,0,0,0.0,0.0,MAR2016,6.0,0.0,2.0,1.0,0.0,None,39.7,36.0,39.6,80.5,63.2,63.3,47.0,45.4,45.4,473,22,12,66,0,0,12,58,12,18,46,183,,0,276,0,1.0,128.0,113.0,GALVANIZED,LEAD
48503.0,Private,MI,Yes,100.0,0,677,0,12461,ONE STORY,0.0,0,0.111,No,Residential,RI,RI,1915,Y,B,Green Neighborhood,GN-1,Fair,Good, ,43.028044,-83.67428199999998,T.C.,7,43,2600,1,11,0,0.0,0.0,None,-1.0,-1.0,0.0,0.0,0.0,None,52.9,43.3,49.6,53.3,43.5,49.6,-1.0,-1.0,-1.0,0,300,48,24,48,24,0,0,8,9,65,111,5102000.0,0,280,0,51.0,147.0,82.0,GALVANIZED,LEAD
48506.0,Private,IL,Yes,100.0,18700,9500,5429,16606,ONE STORY,0.0,0,0.115,No,Residential,RI,RI,1955,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,43.03805699999999,-83.63609090000001,T.C.,4,25,2700,2,1,0,0.0,0.0,None,-1.0,-1.0,0.0,0.0,0.0,None,35.2,40.4,36.0,40.3,36.0,36.9,10.5,54.1,32.3,221,772,180,79,146,56,11,23,114,78,127,303,17258300.0,0,702,0,27.0,21.0,324.0,COPPER,COPPER
48505.0,Private,MI,No,0.0,0,615,0,25942,ONE STORY,0.0,0,0.096,No,Residential,RI,RI,1952,N,A2,Green Neighborhood,GN-1,Good,Good, ,43.065041799999996,-83.7060444,Other,1,4,400,3,1,0,0.0,0.0,None,-1.0,-1.0,0.0,0.0,0.0,None,48.3,30.6,32.3,48.4,57.9,48.9,48.3,30.4,30.7,714,49,60,127,12,0,36,127,5,106,117,124,607400.0,33,401,0,2.0,107.0,87.0,COPPER,COPPER
48507.0,Private,MI,Yes,100.0,11800,7239,0,71141,CAPECOD,0.0,0,0.147,No,Residential,RI,RI,1948,N,A2,Traditional Neighborhood,TN-2,Good,Fair, ,42.983426,-83.670773,Mueller,9,60,3500,1,1,0,0.0,0.0,None,-1.0,-1.0,0.0,0.0,0.0,None,36.7,36.2,36.5,40.8,40.6,40.7,16.0,26.4,26.2,230,944,128,72,128,37,0,35,27,64,100,393,21564600.0,26,867,0,27.0,112.0,274.0,COPPER,COPPER
48504.0,Private,MI,Yes,100.0,9600,1223,0,56420,ONE STORY,0.0,0,0.155,No,Residential,RI,RI,1955,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,43.058744,-83.73119600000003,A.D.,2,8,500,1,1,0,0.0,0.0,APR2016,0.0,0.0,1.0,1.0,0.0,None,37.2,34.9,35.0,-1.0,-1.0,-1.0,37.2,34.8,34.9,763,13,94,35,7,0,87,35,57,30,115,138,,0,439,0,7.0,65.0,221.0,COPPER,COPPER
48504.0,Private,MI,Yes,100.0,9600,1083,0,60408,ONE STORY,0.0,0,0.14800000000000002,No,Residential,RI,RI,1955,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,43.057525,-83.729685,A.D.,2,8,500,1,1,0,0.0,0.0,None,-1.0,-1.0,0.0,0.0,0.0,None,37.2,34.9,35.0,-1.0,-1.0,-1.0,37.2,34.8,34.9,763,13,94,35,7,0,87,35,57,30,115,138,,0,439,0,7.0,65.0,221.0,COPPER,COPPER
48506.0,Private,MI,No,0.0,0,546,0,6062,CAPECOD,0.0,0,0.131,No,Residential,RI,RI,1926,N,B,Green Neighborhood,GN-1,Good,Good, ,43.045094,-83.67015500000002,Other,3,19,2200,1,11,0,0.0,0.0,None,-1.0,-1.0,0.0,0.0,0.0,None,28.0,34.7,33.3,27.5,43.0,40.2,-1.0,-1.0,31.5,39,676,44,92,44,92,0,0,0,87,55,183,2913700.0,0,295,0,106.0,136.0,168.0,GALVANIZED,LEAD
48503.0,Private,MI,Yes,100.0,0,2517,0,24841,TWO UNIT,0.0,0,0.20199999999999999,No,Residential,RI,RI,1917,N,A2,Traditional Neighborhood,TN-2,Good,Fair, ,43.014916,-83.675274,Mueller,7,42,2900,2,5,0,0.0,0.0,None,-1.0,-1.0,0.0,0.0,0.0,Copper,61.8,45.3,47.7,59.0,24.4,26.5,61.7,45.7,47.8,870,275,121,27,0,25,121,2,39,82,325,350,3559800.0,0,650,0,28.0,452.0,161.0,COPPER,LEAD
48504.0,Private,MI,No,0.0,0,1072,0,57256,ONE STORY,0.0,0,0.14,No,Residential,RI,RI,1957,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,43.05511,-83.72903199999998,T.C.,2,8,500,1,1,0,0.0,0.0,None,-1.0,-1.0,0.0,0.0,0.0,None,37.2,34.9,35.0,-1.0,-1.0,-1.0,37.2,34.8,34.9,763,13,94,35,7,0,87,35,57,30,115,138,,0,439,0,7.0,65.0,221.0,COPPER,COPPER
48504.0,Private,MI,Yes,100.0,10300,1500,0,86990,CAPECOD,0.0,0,0.115,Yes,Residential,RI,RI,1943,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,43.03774,-83.7288109,T.C.,2,12,900,4,9,0,0.0,0.0,None,-1.0,-1.0,0.0,0.0,0.0,None,34.4,40.6,36.7,-1.0,58.8,69.8,31.6,35.2,31.8,478,77,25,56,16,0,9,56,0,54,84,143,1187600.0,0,272,0,12.0,60.0,152.0,COPPER,LEAD
48506.0,Private,MI,Yes,100.0,13700,9500,0,13199,CAPECOD,0.0,0,0.115,Yes,Residential,RI,RI,1950,N,A2,Traditional Neighborhood,TN-2,Good,Good, ,43.034982899999996,-83.6433349,Other,4,25,2700,3,1,0,0.0,0.0,None,-1.0,-1.0,0.0,0.0,0.0,None,29.0,39.3,32.2,28.8,36.4,31.7,-1.0,43.5,43.5,93,988,105,85,93,85,12,0,59,42,81,316,11207400.0,0,747,0,50.0,153.0,298.0,COPPER,COPPER
48504.0,Private,MI,Yes,100.0,13000,2000,0,62860,TRI-LEVEL,0.0,0,0.115,No,Residential,RI,RI,1961,N,A2,Green Neighborhood,GN-1,Good,Fair, ,43.012527399999996,-83.6874562,A.D.,2,9,700,1,1,0,0.0,0.0,SEP2016,79.0,0.0,48.0,1.0,0.0,None,54.3,28.4,36.3,-1.0,-1.0,-1.0,53.3,28.4,32.8,420,16,42,52,0,9,42,43,4,6,83,64,-1.0,0,217,0,8.0,145.0,162.0,COPPER,COPPER
48504.0,Private,MI,Yes,100.0,0,1346,0,47303,ONE STORY,0.0,0,0.149,No,Residential,RI,RI,1958,N,A2,Traditional Neighborhood,TN-2,Good,Fair, ,43.066576,-83.72783000000003,T.C.,1,7,300,1,1,0,0.0,0.0,None,-1.0,-1.0,0.0,0.0,0.0,None,34.5,39.7,36.8,-1.0,-1.0,40.6,34.1,39.6,34.8,1166,15,60,169,0,0,60,169,11,95,116,501,,0,913,0,10.0,423.0,289.0,COPPER,COPPER
48504.0,Private,MI,No,0.0,0,1430,0,14349,ONE STORY,0.0,0,0.115,No,Residential,RI,RI,1942,N,A2,Green Neighborhood,GN-1,Fair,Poor, ,43.042465,-83.715738,A.D.,2,26,900,3,1,0,0.0,0.0,None,-1.0,-1.0,0.0,0.0,0.0,None,46.3,52.2,50.7,51.5,48.5,49.0,41.5,54.2,48.4,921,105,132,60,19,8,113,52,10,84,183,181,881600.0,24,474,0,2.0,218.0,310.0,COPPER,COPPER
